Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS8199	La sintaxis 'var (...)' como valor L está reservada.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	235		
Error (activo)	CS8199	La sintaxis 'var (...)' como valor L está reservada.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	267		
Error (activo)	CS8199	La sintaxis 'var (...)' como valor L está reservada.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	299		
Error (activo)	CS8199	La sintaxis 'var (...)' como valor L está reservada.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	326		
Error (activo)	CS1003	Error de sintaxis, se esperaba ','	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	235		
Error (activo)	CS1003	Error de sintaxis, se esperaba ','	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	235		
Error (activo)	CS1003	Error de sintaxis, se esperaba ','	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	235		
Error (activo)	CS1003	Error de sintaxis, se esperaba ','	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	267		
Error (activo)	CS1003	Error de sintaxis, se esperaba ','	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	267		
Error (activo)	CS1003	Error de sintaxis, se esperaba ','	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	267		
Error (activo)	CS1003	Error de sintaxis, se esperaba ','	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	299		
Error (activo)	CS1003	Error de sintaxis, se esperaba ','	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	299		
Error (activo)	CS1003	Error de sintaxis, se esperaba ','	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	326		
Error (activo)	CS1003	Error de sintaxis, se esperaba ','	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	326		
