PermisoID	NombrePermiso	DescripcionPermiso	Modulo
2	Crear Facturas	Permite crear y hacer cobros de facturar	Facturación
3	Ver Costos	Permite ver información de costos de productos	Costos y Utilidades
4	Ver Utilidades	Permite ver información de utilidades y márgenes de ganancia	Costos y Utilidades
5	Programar Inventario	Permite crear y programar inventarios	Inventario
6	Gestion Completa	Acceso completo a todas las funciones administrativas	Administración
7	Editar Productos	Permite crear y editar productos	Inventario
8	Eliminar Productos	Permite eliminar productos del sistema	Inventario
9	Ajustar Stock	Permite realizar ajustes de inventario y stock	Inventario
10	Ver Reportes	Permite acceder a reportes y estadísticas	Reportes
11	Gestion Usuarios	Permite gestionar usuarios y sus permisos	Administración
13	VerCostos	Permite ver los costos de los productos en el inventario	Costos y Utilidades
14	VerUtilidades	Permite ver las utilidades y porcentajes de ganancia de los productos	Costos y Utilidades
15	ProgramarInventario	Permite crear y programar nuevos inventarios	Inventario
16	Iniciar Inventario	Para poder dar inicio a los inventarios	Inventario
1016	Completar Inventario	Se utiliza para que los asignados a realizar inventarios puedas dar por finalizado el proceso.	Inventario
1017	Descargar Reportes	Permite descargar reportes en Excel y PDF	Reportes
1018	Ver Facturación	Para acceder al módulo de facturación	Facturación
1019	Editar Clientes	Permite modificar la informacion de los clientes	Clientes
1020	Ver Productos	Para visualizar Productos de Inventario	Inventario
1021	Ver Historial Inventarios Completo	Permite Visualizar inventarios Anteriores	Inventario
1022	CompletarFacturas	Permite completar facturas y cambiar estado a pagada	Facturación
1023	EditarFacturas	Permite editar facturas existentes	Facturación
1024	AnularFacturas	Permite anular facturas	Facturación
1025	Crear Clientes	Permiso para agregar nuevos clientes	Clientes
1026	Ver Clientes	Permiso para ver los clientes del Sistema	Clientes
1027	Eliminar Clientes	Permiso para eliminar un cliente de la Base de Datos	Clientes
1028	Entregar Pendientes	Permite al Usuario Entregar a nivel de sistema productos pendientes de Entrega	Facturación
1030	Prueba	Prueba	Administración
1032	Menu_Inventario	Permite ver el Menú de inventario	Inventario
1033	Sub_Menu_VerProductos	Permite Visualizar el SubMenú de Modulo de Inventario Ver Productos	Inventario
1034	Sub_Menu_AgregarProductos	Permite Visualizar el SubMenú de Modulo de Inventario Agregar Productos	Inventario
1035	Sub_Menu_ProgramarInventario	Permite Visualizar el SubMenú de Modulo de Inventario Programar Inventario	Inventario
1036	Sub_Menu_HistorialInventario	Permite Visualizar el SubMenú de Modulo de Inventario Historial Inventario	Inventario
1037	Menu_Ventas	Acceso al menú principal de Ventas y módulos relacionados con proceso de venta	Facturación
1038	Sub_Menu_Clientes	Permite gestionar clientes	Clientes
1039	Sub_Menu_Facturación	Permite acceder al sistema de facturación	Facturación
1040	Sub_Menu_ReportesVentas	Permite ver reportes de ventas	Reportes
1041	Sub_Menu_EntregasPendientes	Permite ver entregas pendientes	Facturación
1042	Menu_Proveedores	Acceso al menú principal de Proveedores	Proveedores
1043	Sub_Menu_GestionProveedores	Permite gestionar proveedores	Proveedores
1044	Sub_Menu_PedidosProveedores	Permite gestionar pedidos a proveedores	Proveedores
1045	Menu_Reportes	Acceso al menú principal de Reportes	Reportes
1046	Sub_Menu_ExportarExcel	Permite exportar reportes a Excel	Reportes
1047	Sub_Menu_ExportarPDF	Permite exportar reportes a PDF	Reportes
1048	Menu_Configuración	Acceso al menú principal de Configuración	Administración
1049	Sub_Menu_RolesPermisos	Permite gestionar roles y permisos	Administración
1050	Sub_Menu_GestionUsuarios	Permite gestionar usuarios del sistema	Administración
1051	Menu_HerramientasSistemaDEV	Acceso al menú principal de Herramientas de Sistema	Administración
1052	Sub_Menu_DiagnosticoPermisosDEV	Permite acceder al diagnóstico de permisos	Administración
1053	Sub_Menu_LogsSistemaDEV	Permite ver los logs del sistema	Administración
1070	Ver Historial Inventarios	Permite ver el historial de inventarios asignados al usuario	Inventario
1071	Ver Detalle Producto	Permite al Usuario ver detalles del producto seleccionado	Inventario
1072	Configuracion	Sistema Permite acceder a configuraciones del sistema	Administración
